index;Label;avg_t0;avg_t1;avg_t2;avg_t3;avg_t4;avg_t5;avg_t6;avg_t7;avg_t8;avg_t9;avg_t10;max_t0;max_t1;max_t2;max_t3;max_t4;max_t5;max_t6;max_t7;max_t8;max_t9;max_t10;min_t0;min_t1;min_t2;min_t3;min_t4;min_t5;min_t6;min_t7;min_t8;min_t9;min_t10
124;Right GRe gyrus rectus                                   ;0;29.2591;51.834;24.2412;5.1866;-6.9664;-3.3049;-0.2528;0.0014;0.0015;0.0002;0;30.3911;62.2309;26.9905;5.5585;-7.8997;-4.2255;-0.2683;0.0016;0.0017;0.0002;0;26.5449;49.1724;23.0616;4.6085;-6.3867;-3.1082;-0.2489;0.001;0.0012;0.0002
125;Left GRe gyrus rectus                                    ;0;0.3071;28.5776;49.3839;23.9896;4.2306;-1.8193;-2.2401;-1.4231;-0.7067;-0.2997;0;0.3786;30.7469;52.0342;26.6577;4.3028;-2.0824;-2.5048;-1.4613;-0.7549;-0.3145;0;0.2833;27.0622;39.1701;22.823;4.0969;-1.7275;-2.0626;-1.4018;-0.5841;-0.2754
128;Right IOG inferior occipital gyrus                       ;0;8.6719;83.0722;25.4245;-1.1069;-5.1666;-4.9674;-3.2903;-1.6804;-0.7043;-0.2527;0;9.3803;89.1946;27.8741;-1.2132;-5.5318;-5.1349;-3.5072;-1.8524;-0.7552;-0.2646;0;8.3562;81.7365;21.3605;-1.0516;-4.5439;-4.0458;-3.156;-1.5709;-0.5946;-0.2248
129;Left IOG inferior occipital gyrus                        ;0;61.739;35.4796;15.1148;2.1079;-5.3664;-5.412;-2.6362;-0.823;-0.1787;-0.0249;0;70.055;36.698;15.9227;2.2369;-5.5364;-5.9483;-2.8279;-0.8258;-0.2171;-0.026;0;60.4881;33.7541;13.6167;1.8729;-5.0378;-5.1549;-2.3684;-0.8109;-0.1773;-0.0247
132;Right ITG inferior temporal gyrus                        ;0;53.4909;38.4708;17.1343;6.2228;-3.4585;-9.835;-2.0118;-0.0355;0.0158;0.0048;0;63.0652;40.5583;18.2952;6.4916;-3.6079;-10.9012;-2.1863;-0.043;0.0167;0.0052;0;52.5104;32.2023;15.3467;5.1761;-3.1817;-9.8316;-1.7598;-0.0332;0.015;0.0047
133;Left ITG inferior temporal gyrus                         ;0;36.0467;48.7451;21.8013;5.1403;-2.9888;-4.5142;-2.7585;-1.0851;-0.3145;-0.0723;0;39.2662;52.1811;24.5315;5.3376;-3.0566;-4.7225;-2.8604;-1.1194;-0.3527;-0.0803;0;33.6963;44.4037;21.5815;4.6805;-2.705;-4.2005;-2.4813;-0.9965;-0.3037;-0.071
134;Right LiG lingual gyrus                                  ;0;3.1481;93.2943;24.0614;-0.4376;-4.6895;-5.8428;-4.7404;-2.8564;-1.3779;-0.5593;0;3.1588;102.5147;25.9881;-0.4392;-4.8958;-5.8991;-5.0339;-2.8943;-1.4247;-0.5777;0;3.0494;89.1305;21.781;-0.38;-4.4145;-5.0977;-4.1832;-2.569;-1.1417;-0.4562
135;Left LiG lingual gyrus                                   ;0;8.1534;56.6751;37.3076;6.7369;-2.7375;-3.1389;-1.8138;-0.7975;-0.2922;-0.0931;0;8.4165;67.9731;38.0315;7.3942;-3.3884;-3.5875;-1.8167;-0.8506;-0.352;-0.0992;0;7.3119;55.1713;36.0145;6.5572;-2.3542;-2.839;-1.7564;-0.7168;-0.2906;-0.0778
136;Right LOrG lateral orbital gyrus                         ;0;44.8916;51.7242;16.4513;3.1375;-5.7566;-9.5293;-0.9079;-0.0108;0;0;0;54.7252;53.1497;18.5695;3.3066;-6.4699;-10.8969;-1.0001;-0.0109;0;0;0;43.4776;50.557;15.8981;2.9524;-5.5552;-8.1657;-0.8197;-0.0102;0;0
137;Left LOrG lateral orbital gyrus                          ;0;0.0017;90.0625;24.4869;-2.3021;-4.5317;-4.1637;-2.3225;-0.9018;-0.266;-0.0632;0;0.0018;98.9139;26.8326;-2.453;-5.2323;-4.4376;-2.4166;-1.0375;-0.2684;-0.0669;0;0.0014;88.6385;23.0711;-2.1924;-4.127;-4.0337;-2.2034;-0.8144;-0.1947;-0.0609
