index;Label;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10
181;Left PP planum polare                                    ;0;25.4007;76.5717;22.6097;-0.9377;-12.1804;-8.8679;-2.2918;-0.2832;-0.02;-0.0009
182;Right PrG precentral gyrus                               ;0;4.1869;62.1034;39.5856;4.737;-3.0285;-3.1083;-2.1448;-1.283;-0.697;-0.3514
183;Left PrG precentral gyrus                                ;0;49.5265;43.0386;18.7034;2.9718;-4.323;-5.0347;-3.0451;-1.293;-0.4277;-0.1168
184;Right PT planum temporale                                ;0;32.4149;68.0313;13.314;-1.6003;-3.5948;-3.3668;-2.4603;-1.5161;-0.8207;-0.4012
185;Left PT planum temporale                                 ;0;6.799;54.6123;38.9517;8.1412;-2.9654;-3.2559;-1.5677;-0.5356;-0.146;-0.0337
186;Right SCA subcallosal area                               ;0;74.1744;29.0664;8.9839;1.1723;-4.6848;-5.5383;-2.4936;-0.5877;-0.0846;-0.008
187;Left SCA subcallosal area                                ;0;20.2918;53.3499;31.4894;9.2384;-2.4372;-5.3221;-3.8467;-1.8593;-0.6921;-0.2122
190;Right SFG superior frontal gyrus                         ;0;41.1804;60.3133;14.5352;-0.1025;-5.044;-5.6348;-3.4053;-1.3493;-0.3893;-0.0876
191;Left SFG superior frontal gyrus                          ;0;0.2751;108.3659;6.3819;-3.3472;-4.195;-3.4838;-2.1893;-1.1227;-0.4931;-0.1917
192;Right SMC supplementary motor cortex                     ;0;16.6329;54.7615;30.0035;5.7877;-1.8564;-2.4363;-1.5605;-0.8055;-0.37;-0.157
193;Left SMC supplementary motor cortex                      ;0;42.4174;38.7074;18.8437;5.0305;-0.7862;-1.8615;-1.3149;-0.6629;-0.2746;-0.099
194;Right SMG supramarginal gyrus                            ;0;4.1389;49.7313;40.0749;15.7364;1.8184;-4.494;-4.3604;-1.9815;-0.5556;-0.1084
195;Left SMG supramarginal gyrus                             ;0;14.2089;52.4542;37.1575;12.9468;-1.6449;-7.7623;-5.2775;-1.714;-0.3274;-0.0413
196;Right SOG superior occipital gyrus                       ;0;21.8978;73.3606;20.7373;2.1151;-3.4574;-9.7609;-4.3506;-0.5188;-0.0227;-0.0004
197;Left SOG superior occipital gyrus                        ;0;53.8123;53.2829;8.0347;-2.0481;-4.6026;-4.2072;-2.5522;-1.1616;-0.4261;-0.1321
198;Right SPL superior parietal lobule                       ;0;5.5006;58.2746;39.6142;9.0658;-2.6012;-4.6777;-3.1631;-1.4137;-0.4729;-0.1266
199;Left SPL superior parietal lobule                        ;0;44.9952;49.32;5.4148;0.2615;0.0082;0.0002;0;0;0;0
200;Right STG superior temporal gyrus                        ;0;0.0006;108.5393;13.0919;-3.8774;-13.585;-3.9551;-0.2109;-0.0033;0;0
201;Left STG superior temporal gyrus                         ;0;5.2591;58.7682;37.0533;10.7085;-0.8768;-4.136;-3.5321;-1.9864;-0.8589;-0.3056
202;Right TMP temporal pole                                  ;0;0.0001;110.3943;10.3077;-1.5412;-4.8306;-6.27;-4.6374;-2.3101;-0.8584;-0.2545
203;Left TMP temporal pole                                   ;0;35.8197;32.2424;19.9172;8.814;2.4934;0.314;0.01;0.1082;0.1535;0.1276
204;Right TrIFG triangular part of the inferior frontal gyrus;0;34.4649;82.2049;9.635;0.0935;-15.1923;-10.8442;-0.3606;-0.0013;0;0
205;Left TrIFG triangular part of the inferior frontal gyrus ;0;11.8195;46.3861;39.5862;9.9963;-6.2827;-1.7089;0.1086;0.075;0.0167;0.0031
206;Right TTG transverse temporal gyrus                      ;0;0;116.8425;-0.167;-2.3732;-5.156;-4.9896;-2.7776;-1.0342;-0.2837;-0.0612
207;Left TTG transverse temporal gyrus                       ;0;69.8538;52.4407;-0.1979;-4.4461;-6.4792;-5.562;-3.3248;-1.5269;-0.5737;-0.1841
